ReviewID,Keyword,Frequency
95,windows,1
96,attached,1
96,spreadsheets,1
96,tablet pc,1
96,light,2
96,beautiful,1
96,task bar,1
96,noticeable,1
96,windows 8,1
96,wireless,1
96,windows update,1
96,gaming,1
96,touch,1
96,traditional laptop,1
96,upgrading,2
96,ships,1
96,restarts,2
96,excel,1
96,weight,1
96,battery,1
96,slower,1
96,desktop,1
96,bluetooth,1
96,update,4
96,balance,1
97,chromebook,1
98,price,1
100,warranty,1
100,hard drive,1
100,disappointed,1
100,option,1
100,toshiba,1
100,arrived,1
100,technician,1
101,price,1
101,stuff,1
102,quick,1
102,seller,1
104,price,1
104,monitor,1
104,worked perfectly,1
104,laptops,1
104,connected,1
104,screen cracked,2
104,warranty,2
104,replaced,1
104,issues,1
104,reading,1
105,stylus,1
105,charger,1
105,brand,1
105,packaging,1
105,message,1
108,graphics,1
108,complaint,1
108,windows app store,1
108,knock,1
108,surface,1
109,blurry,1
109,screen resolution,1
109,web surfing,1
110,upgrade,3
110,sd card,1
110,money,1
110,memory card,1
110,memory,3
110,price,1
110,issues,1
110,fixed,1
110,space,1
110,updated,1
111,written,1
111,return,1
111,problem,1
111,reset,1
111,expensive,1
111,performance,1
111,costs,1
111,factory settings,1
111,macbook,1
112,computing,2
112,travels,1
112,speed,1
112,price,1
112,magnets,1
112,designed,1
112,system,1
115,traveled,1
115,ahead,1
115,problem,7
115,install,1
115,operating system,2
115,programs,1
115,shipping,1
115,money,1
115,samsung,6
115,surprise,1
115,desktop,1
115,windows 8,4
115,replace,1
115,software,2
115,update,2
115,long time,1
117,works fine,1
117,angle,1
118,complaint,1
118,flips,1
119,good price,1
120,facebook,1
121,chromebook,4
121,emails,1
121,chrome remote desktop,1
121,asus chromebook flip,1
121,touch,1
121,build quality,2
122,bright,1
122,battery life,1
122,price,1
122,speakers,1
123,purchase,1
125,written,1
126,programs,1
126,powers,1
126,experience,1
126,processor,1
126,google drive,1
126,portability,1
127,market,1
127,worst computer,1
127,received,1
128,touch screen,1
129,stylus,1
130,convertible laptop,1
130,written,1
130,videos,1
130,windows 7,1
130,purchase,1
132,design,1
132,watching netflix,1
132,hours,2
132,playing music,1
132,smartphone,1
132,quiet,1
132,great deal,1
132,beautiful,1
132,things considered,1
132,friends,1
132,hard drive,2
132,hp laptops,1
132,charge,2
132,battery life,1
132,screen brightness,1
132,speedy,1
132,common issue,1
132,movie,1
132,elegant,1
132,touchscreen works,1
132,browsing,1
132,noise,1
132,delivered,1
132,lacking,1
132,sharp,1
132,prices,1
132,bright,4
132,build quality,1
132,brightness,3
133,great sound,1
133,windows 8,1
135,writing,1
135,windows rt,2
135,hours,1
135,studying,1
135,previous laptop,1
135,tablet mode,1
135,music,1
135,computer works,1
135,students,1
135,battery,1
135,specs,1
135,install,1
135,books,1
136,lower resolution,1
136,storage,1
136,hardware,1
136,small,2
136,video playback,1
136,problem,1
136,battery life,1
136,cheap,1
136,price,1
136,display,1
136,performance,2
136,received,1
136,light,1
136,track pad,1
136,knock,1
136,lemon,1
139,durable,1
141,website,1
141,returned,1
141,money back,2
141,purchase,1
141,charge,1
141,typing,1
141,warranty,1
141,replaced,2
143,manage,1
143,battery life,1
143,surface,1
143,lenovo support,1
143,sleek,1
145,skyrim,1
145,minecraft,1
145,storage,1
145,full version,1
145,updated,1
145,virus,1
145,chrome,1
145,electronics,1
145,malware,1
145,charging,1
145,tablet/laptop,1
145,windows 8,1
145,reading,1
145,windows updates,1
145,power,1
145,removed,1
145,usb 3,1
145,lacking,1
145,received,1
145,docked,1
145,default,1
146,refund,1
149,stylus,2
149,mouse,1
149,8gb ram,1
149,charging light,1
149,suitable,1
149,256gb ssd,1
149,hitting,1
149,reliable,1
149,sd card slot,1
149,feature,2
149,backlit,1
150,stopped working,1
151,weight,1
151,price,1
151,lighter,1
151,worth,1
152,shipping,1
153,starts,1
153,problem,1
153,emails,1
153,skype,1
154,chrome os,1
154,software,1
154,compatible,1
155,beautiful machine,1
157,school,1
157,perfect size,1
157,price,1
157,grandson,1
157,kindle,1
157,lightweight,1
157,smaller,1
158,gaming,1
158,good design,1
158,playing,1
158,laggy,1
158,documents,1
158,windows 10,1
162,charged,1
162,cases,1
162,charge,3
162,returned,1
162,charging,1
165,market,1
165,price,1
165,usability,1
165,performance,1
165,noise,1
165,surface,4
166,adapter,2
167,buttons,2
167,ahead,1
167,samsung chromebook,1
167,retina display,1
167,atrocious,1
167,apple,1
167,stopped,1
167,simplicity,1
167,samsung,5
167,clicks,1
167,chromebook,3
167,purchase,1
167,downgrade,1
167,applications,1
167,pro version,1
167,hitting,1
167,cramped,1
167,update,2
167,mac book pro,1
167,google drive,1
168,high quality,1
168,drawbacks,1
168,great screen,1
170,chromebooks,3
170,price,1
170,touch screen,1
171,good battery life,1
173,plenty,1
173,carry,1
174,virus,2
174,windows,1
174,returned,1
174,refurb,1
174,updating,1
174,husband,1
174,full refund,1
174,updated,1
175,school,1
175,daughter,1
176,issues,1
176,excellent,2
176,office 365,1
176,speed,1
176,small,1
176,windows 8,1
176,purchase,1
177,problem,1
177,irulu,1
177,returned,1
178,battery,2
178,return,1
178,hours,1
178,laptop works,1
178,defective,1
178,charge,1
180,price,1
180,upgraded,1
180,windows 10,1
181,responsiveness,1
182,battery,1
183,google docs,1
183,solid,1
184,operate,1
186,laptops,2
186,applications,1
186,bit slower,1
186,playing videos,1
186,long battery life,1
186,web browser,1
186,touch screen feature,1
186,purchasing,1
186,lightweight,1
186,compared,2
186,drawbacks,1
187,programs,1
187,usb port,1
187,powerful,1
187,travel laptop,1
187,versatility,1
187,great battery life,1
188,chromebook,1
188,returned,1
188,brand,1
188,start,1
188,issues,1
188,replacement,2
188,tech support,2
189,design,2
189,clean,1
189,return,1
189,wireless,4
189,enter,1
189,connect,2
189,office,1
189,google,1
189,wireless card,1
189,extremely disappointed,1
189,lenovo,3
191,price,2
191,great item,1
192,heavy,1
192,weight,1
192,backlit keyboard,1
192,touching,1
192,battery,1
192,plugging,1
192,touchpad,1
192,boots fast,1
192,full charge,1
192,great price,1
192,recharge,1
192,functions,1
193,waiting,1
193,installed,2
193,run windows,3
193,presentations,1
193,issues,3
193,connect,3
193,2gb ram,1
193,stream,2
193,mobile,1
193,powerpoint,1
193,experience,1
193,battery lasts,1
193,drivers,1
193,small,1
193,returned,1
193,usb adapter,1
193,received,1
193,business,1
193,excel,1
193,installation,1
193,micro hdmi,1
193,hp laptops,1
193,connected,1
193,quality,1
193,macbook,2
193,projector,1
193,additional storage,1
193,testing,1
194,restart,1
194,problem,1
194,traveling,1
194,student,1
194,charging light,1
194,lightweight laptop,1
194,files,1
194,charged,3
194,music,1
194,charger,2
194,hard drive,1
194,asus transformer book,1
194,tablet/laptop,1
194,programs,1
194,charge,9
194,store,1
194,update,1
194,space,1
196,start,1
197,edges,1
197,returned,1
197,hours,1
197,colors,1
197,speak,1
197,quality,1
198,upgrade,1
198,windows 10,1
199,buttons,1
199,recognize,1
199,price,1
199,pretty,5
199,received,1
199,spacebar,1
199,light,2
199,experience,1
199,returned,1
199,hp laptops,3
199,desktops,1
199,space,2
199,reviewers,1
199,press,1
199,typing,2
199,hands,1
201,waste,1
201,money,1
201,lighter,2
201,smaller,2
202,responsive,1
204,youtube,1
204,schedule,1
206,problem,1
206,reading,1
207,fixed,2
207,lenovo yoga,1
207,uncomfortable,1
207,warranty,1
208,slide,1
209,return,3
209,troubleshoot,2
209,black screen,1
209,webpage,1
209,year warranty,1
209,received,1
209,troubleshooting,1
209,update,1
209,drivers,1
209,sleep,3
210,quick delivery,1
210,quality product,1
213,works perfect,1
214,company,1
214,microsoft,2
214,fragile,2
214,surface,1
215,starts,1
215,charger,1
215,worth,1
215,extremely fast,1
215,price,1
215,responsive touchscreen,1
215,amazing computer,1
216,bright,1
216,money,1
216,sharp,1
218,laptops,1
